agrn,Location_code,Location_Name,measure_id,measure_name,raw_cat_C,status,status_definition,verified_eligible_negative,receipt_verified,source_id,source_url,category_source,snapshot_conflict
1046,30250,Aurukun,1046_M01,Community Mental Health Program,0,OUTSIDE_MEASURE_SCOPE,Not named in this published measure scope; NOT a verified eligible negative,False,False,1046_mental,https://www.qra.qld.gov.au/funding-programs/event-specific-exceptional-circumstances-assistance/2022-23-monsoon-and-flooding-exceptional-circumstances-package/community-mental-health-package-1-million,activation_1046 PDF p6,False
1046,30410,Barcaldine,1046_M01,Community Mental Health Program,0,OUTSIDE_MEASURE_SCOPE,Not named in this published measure scope; NOT a verified eligible negative,False,False,1046_mental,https://www.qra.qld.gov.au/funding-programs/event-specific-exceptional-circumstances-assistance/2022-23-monsoon-and-flooding-exceptional-circumstances-package/community-mental-health-package-1-million,activation_1046 PDF p6,False
1046,30450,Barcoo,1046_M01,Community Mental Health Program,0,OUTSIDE_MEASURE_SCOPE,Not named in this published measure scope; NOT a verified eligible negative,False,False,1046_mental,https://www.qra.qld.gov.au/funding-programs/event-specific-exceptional-circumstances-assistance/2022-23-monsoon-and-flooding-exceptional-circumstances-package/community-mental-health-package-1-million,activation_1046 PDF p6,False
1046,30760,Blackall Tambo,1046_M01,Community Mental Health Program,0,OUTSIDE_MEASURE_SCOPE,Not named in this published measure scope; NOT a verified eligible negative,False,False,1046_mental,https://www.qra.qld.gov.au/funding-programs/event-specific-exceptional-circumstances-assistance/2022-23-monsoon-and-flooding-exceptional-circumstances-package/community-mental-health-package-1-million,activation_1046 PDF p6,False
1046,30900,Boulia,1046_M01,Community Mental Health Program,1,VERIFIED_POSITIVE,Verified named geographic availability; no payment or selection-risk-set claim,False,False,1046_mental,https://www.qra.qld.gov.au/funding-programs/event-specific-exceptional-circumstances-assistance/2022-23-monsoon-and-flooding-exceptional-circumstances-package/community-mental-health-package-1-million,activation_1046 PDF p6,False
1046,31900,Burdekin,1046_M01,Community Mental Health Program,0,OUTSIDE_MEASURE_SCOPE,Not named in this published measure scope; NOT a verified eligible negative,False,False,1046_mental,https://www.qra.qld.gov.au/funding-programs/event-specific-exceptional-circumstances-assistance/2022-23-monsoon-and-flooding-exceptional-circumstances-package/community-mental-health-package-1-million,activation_1046 PDF p6,False
1046,31950,Burke,1046_M01,Community Mental Health Program,1,VERIFIED_POSITIVE,Verified named geographic availability; no payment or selection-risk-set claim,False,False,1046_mental,https://www.qra.qld.gov.au/funding-programs/event-specific-exceptional-circumstances-assistance/2022-23-monsoon-and-flooding-exceptional-circumstances-package/community-mental-health-package-1-million,activation_1046 PDF p6,False
1046,32080,Cairns,1046_M01,Community Mental Health Program,0,OUTSIDE_MEASURE_SCOPE,Not named in this published measure scope; NOT a verified eligible negative,False,False,1046_mental,https://www.qra.qld.gov.au/funding-programs/event-specific-exceptional-circumstances-assistance/2022-23-monsoon-and-flooding-exceptional-circumstances-package/community-mental-health-package-1-million,activation_1046 PDF p6,False
1046,32250,Carpentaria,1046_M01,Community Mental Health Program,1,VERIFIED_POSITIVE,Verified named geographic availability; no payment or selection-risk-set claim,False,False,1046_mental,https://www.qra.qld.gov.au/funding-programs/event-specific-exceptional-circumstances-assistance/2022-23-monsoon-and-flooding-exceptional-circumstances-package/community-mental-health-package-1-million,activation_1046 PDF p6,False
1046,32260,Cassowary Coast,1046_M01,Community Mental Health Program,0,OUTSIDE_MEASURE_SCOPE,Not named in this published measure scope; NOT a verified eligible negative,False,False,1046_mental,https://www.qra.qld.gov.au/funding-programs/event-specific-exceptional-circumstances-assistance/2022-23-monsoon-and-flooding-exceptional-circumstances-package/community-mental-health-package-1-million,activation_1046 PDF p6,False
1046,32270,Central Highlands (Qld),1046_M01,Community Mental Health Program,0,OUTSIDE_MEASURE_SCOPE,Not named in this published measure scope; NOT a verified eligible negative,False,False,1046_mental,https://www.qra.qld.gov.au/funding-programs/event-specific-exceptional-circumstances-assistance/2022-23-monsoon-and-flooding-exceptional-circumstances-package/community-mental-health-package-1-million,activation_1046 PDF p6,False
1046,32310,Charters Towers,1046_M01,Community Mental Health Program,0,OUTSIDE_MEASURE_SCOPE,Not named in this published measure scope; NOT a verified eligible negative,False,False,1046_mental,https://www.qra.qld.gov.au/funding-programs/event-specific-exceptional-circumstances-assistance/2022-23-monsoon-and-flooding-exceptional-circumstances-package/community-mental-health-package-1-million,activation_1046 PDF p6,False
1046,32450,Cloncurry,1046_M01,Community Mental Health Program,0,OUTSIDE_MEASURE_SCOPE,Not named in this published measure scope; NOT a verified eligible negative,False,False,1046_mental,https://www.qra.qld.gov.au/funding-programs/event-specific-exceptional-circumstances-assistance/2022-23-monsoon-and-flooding-exceptional-circumstances-package/community-mental-health-package-1-million,activation_1046 PDF p6,False
1046,32500,Cook,1046_M01,Community Mental Health Program,0,OUTSIDE_MEASURE_SCOPE,Not named in this published measure scope; NOT a verified eligible negative,False,False,1046_mental,https://www.qra.qld.gov.au/funding-programs/event-specific-exceptional-circumstances-assistance/2022-23-monsoon-and-flooding-exceptional-circumstances-package/community-mental-health-package-1-million,activation_1046 PDF p6,False
1046,32600,Croydon,1046_M01,Community Mental Health Program,0,OUTSIDE_MEASURE_SCOPE,Not named in this published measure scope; NOT a verified eligible negative,False,False,1046_mental,https://www.qra.qld.gov.au/funding-programs/event-specific-exceptional-circumstances-assistance/2022-23-monsoon-and-flooding-exceptional-circumstances-package/community-mental-health-package-1-million,activation_1046 PDF p6,False
1046,32750,Diamantina,1046_M01,Community Mental Health Program,0,OUTSIDE_MEASURE_SCOPE,Not named in this published measure scope; NOT a verified eligible negative,False,False,1046_mental,https://www.qra.qld.gov.au/funding-programs/event-specific-exceptional-circumstances-assistance/2022-23-monsoon-and-flooding-exceptional-circumstances-package/community-mental-health-package-1-million,activation_1046 PDF p6,False
1046,32770,Doomadgee,1046_M01,Community Mental Health Program,1,VERIFIED_POSITIVE,Verified named geographic availability; no payment or selection-risk-set claim,False,False,1046_mental,https://www.qra.qld.gov.au/funding-programs/event-specific-exceptional-circumstances-assistance/2022-23-monsoon-and-flooding-exceptional-circumstances-package/community-mental-health-package-1-million,activation_1046 PDF p6,False
1046,32810,Douglas,1046_M01,Community Mental Health Program,0,OUTSIDE_MEASURE_SCOPE,Not named in this published measure scope; NOT a verified eligible negative,False,False,1046_mental,https://www.qra.qld.gov.au/funding-programs/event-specific-exceptional-circumstances-assistance/2022-23-monsoon-and-flooding-exceptional-circumstances-package/community-mental-health-package-1-million,activation_1046 PDF p6,False
1046,33100,Etheridge,1046_M01,Community Mental Health Program,0,OUTSIDE_MEASURE_SCOPE,Not named in this published measure scope; NOT a verified eligible negative,False,False,1046_mental,https://www.qra.qld.gov.au/funding-programs/event-specific-exceptional-circumstances-assistance/2022-23-monsoon-and-flooding-exceptional-circumstances-package/community-mental-health-package-1-million,activation_1046 PDF p6,False
1046,33200,Flinders (Qld),1046_M01,Community Mental Health Program,0,OUTSIDE_MEASURE_SCOPE,Not named in this published measure scope; NOT a verified eligible negative,False,False,1046_mental,https://www.qra.qld.gov.au/funding-programs/event-specific-exceptional-circumstances-assistance/2022-23-monsoon-and-flooding-exceptional-circumstances-package/community-mental-health-package-1-million,activation_1046 PDF p6,False
1046,33830,Hope Vale,1046_M01,Community Mental Health Program,0,OUTSIDE_MEASURE_SCOPE,Not named in this published measure scope; NOT a verified eligible negative,False,False,1046_mental,https://www.qra.qld.gov.au/funding-programs/event-specific-exceptional-circumstances-assistance/2022-23-monsoon-and-flooding-exceptional-circumstances-package/community-mental-health-package-1-million,activation_1046 PDF p6,False
1046,33980,Isaac,1046_M01,Community Mental Health Program,0,OUTSIDE_MEASURE_SCOPE,Not named in this published measure scope; NOT a verified eligible negative,False,False,1046_mental,https://www.qra.qld.gov.au/funding-programs/event-specific-exceptional-circumstances-assistance/2022-23-monsoon-and-flooding-exceptional-circumstances-package/community-mental-health-package-1-million,activation_1046 PDF p6,False
1046,34420,Kowanyama,1046_M01,Community Mental Health Program,0,OUTSIDE_MEASURE_SCOPE,Not named in this published measure scope; NOT a verified eligible negative,False,False,1046_mental,https://www.qra.qld.gov.au/funding-programs/event-specific-exceptional-circumstances-assistance/2022-23-monsoon-and-flooding-exceptional-circumstances-package/community-mental-health-package-1-million,activation_1046 PDF p6,False
1046,34530,Livingstone,1046_M01,Community Mental Health Program,0,OUTSIDE_MEASURE_SCOPE,Not named in this published measure scope; NOT a verified eligible negative,False,False,1046_mental,https://www.qra.qld.gov.au/funding-programs/event-specific-exceptional-circumstances-assistance/2022-23-monsoon-and-flooding-exceptional-circumstances-package/community-mental-health-package-1-million,activation_1046 PDF p6,False
1046,34570,Lockhart River,1046_M01,Community Mental Health Program,0,OUTSIDE_MEASURE_SCOPE,Not named in this published measure scope; NOT a verified eligible negative,False,False,1046_mental,https://www.qra.qld.gov.au/funding-programs/event-specific-exceptional-circumstances-assistance/2022-23-monsoon-and-flooding-exceptional-circumstances-package/community-mental-health-package-1-million,activation_1046 PDF p6,False
1046,34710,Longreach,1046_M01,Community Mental Health Program,0,OUTSIDE_MEASURE_SCOPE,Not named in this published measure scope; NOT a verified eligible negative,False,False,1046_mental,https://www.qra.qld.gov.au/funding-programs/event-specific-exceptional-circumstances-assistance/2022-23-monsoon-and-flooding-exceptional-circumstances-package/community-mental-health-package-1-million,activation_1046 PDF p6,False
