agrn,Location_code,Location_Name,feature,measurement_date,publication_date,disaster_start_date,retrospective_eligible,strict_ex_ante_certified,leakage_note,funding_decision_date,block
960,10180,Armidale,cash_cover_months,,,2021-03-10,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,,capacity
960,10180,Armidale,current_ratio,,,2021-03-10,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,,capacity
960,10180,Armidale,operating_ratio_pct,,,2021-03-10,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,,capacity
960,10180,Armidale,own_source_pct,,,2021-03-10,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,,capacity
960,10180,Armidale,grants_pct,,,2021-03-10,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,,capacity
960,10180,Armidale,debt_service_cover,,,2021-03-10,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,,capacity
960,10180,Armidale,debt_service_ratio_pct,,,2021-03-10,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,,capacity
960,10180,Armidale,population,,,2021-03-10,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,,capacity
960,10180,Armidale,road_km,,,2021-03-10,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,,capacity
960,10180,Armidale,prior_recorded_activation_events,2020-12-10,2026-08-11,2021-03-10,False,False,"Earlier onset is not earlier C/D decision; decision dates missing; left-truncated history. Count is descriptive only; 0 means none recorded, not no prior experience.",,capacity
960,10180,Armidale,prior_recorded_disaster_events,2020-12-10,2026-08-11,2021-03-10,False,False,"Earlier onset is not earlier C/D decision; decision dates missing; left-truncated history. Count is descriptive only; 0 means none recorded, not no prior experience.",,capacity
960,10180,Armidale,prior_recorded_C_events,2020-12-10,2026-08-11,2021-03-10,False,False,"Earlier onset is not earlier C/D decision; decision dates missing; left-truncated history. Count is descriptive only; 0 means none recorded, not no prior experience.",,capacity
960,10180,Armidale,prior_recorded_D_events,2020-12-10,2026-08-11,2021-03-10,False,False,"Earlier onset is not earlier C/D decision; decision dates missing; left-truncated history. Count is descriptive only; 0 means none recorded, not no prior experience.",,capacity
960,10180,Armidale,staffing_FTE,,,2021-03-10,False,False,Requires separately dated source; activation is not receipt,,capacity
960,10180,Armidale,remoteness,,,2021-03-10,False,False,Requires separately dated source; activation is not receipt,,capacity
960,10180,Armidale,prior_funding_receipt_experience,,,2021-03-10,False,False,Requires separately dated source; activation is not receipt,,capacity
1012,10180,Armidale,cash_cover_months,,,2022-02-22,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,,capacity
1012,10180,Armidale,current_ratio,,,2022-02-22,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,,capacity
1012,10180,Armidale,operating_ratio_pct,,,2022-02-22,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,,capacity
1012,10180,Armidale,own_source_pct,,,2022-02-22,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,,capacity
1012,10180,Armidale,grants_pct,,,2022-02-22,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,,capacity
1012,10180,Armidale,debt_service_cover,,,2022-02-22,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,,capacity
1012,10180,Armidale,debt_service_ratio_pct,,,2022-02-22,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,,capacity
1012,10180,Armidale,population,,,2022-02-22,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,,capacity
1012,10180,Armidale,road_km,,,2022-02-22,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,,capacity
1012,10180,Armidale,prior_recorded_activation_events,2021-10-14,2026-08-11,2022-02-22,False,False,"Earlier onset is not earlier C/D decision; decision dates missing; left-truncated history. Count is descriptive only; 0 means none recorded, not no prior experience.",,capacity
1012,10180,Armidale,prior_recorded_disaster_events,2021-10-14,2026-08-11,2022-02-22,False,False,"Earlier onset is not earlier C/D decision; decision dates missing; left-truncated history. Count is descriptive only; 0 means none recorded, not no prior experience.",,capacity
1012,10180,Armidale,prior_recorded_C_events,2021-10-14,2026-08-11,2022-02-22,False,False,"Earlier onset is not earlier C/D decision; decision dates missing; left-truncated history. Count is descriptive only; 0 means none recorded, not no prior experience.",,capacity
1012,10180,Armidale,prior_recorded_D_events,2021-10-14,2026-08-11,2022-02-22,False,False,"Earlier onset is not earlier C/D decision; decision dates missing; left-truncated history. Count is descriptive only; 0 means none recorded, not no prior experience.",,capacity
1012,10180,Armidale,staffing_FTE,,,2022-02-22,False,False,Requires separately dated source; activation is not receipt,,capacity
1012,10180,Armidale,remoteness,,,2022-02-22,False,False,Requires separately dated source; activation is not receipt,,capacity
1012,10180,Armidale,prior_funding_receipt_experience,,,2022-02-22,False,False,Requires separately dated source; activation is not receipt,,capacity
1198,10180,Armidale,cash_cover_months,,,2025-03-03,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,,capacity
1198,10180,Armidale,current_ratio,,,2025-03-03,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,,capacity
1198,10180,Armidale,operating_ratio_pct,,,2025-03-03,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,,capacity
1198,10180,Armidale,own_source_pct,,,2025-03-03,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,,capacity
1198,10180,Armidale,grants_pct,,,2025-03-03,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,,capacity
1198,10180,Armidale,debt_service_cover,,,2025-03-03,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,,capacity
