council_key,year_start,financial_year,component,raw_value,source_unit,value_aud,source_id,source_url,source_location,source_header,report_vintage,definition_caveat,evidence_type,authorised_for_issue_date,exact_publication_date
carrathool,2020,2020-21,rates_annual_charges,5492.0,AUD thousands,5492000.0,carrathool_2022,https://carrathool.nsw.gov.au/wp-content/uploads/IPR/Annual-Report/Annual-Report-2021-22-FINAL.pdf,"PDF page 47 (1-based), audited table, actual year 2021",rates_annual_charges,carrathool_2022,"Audited income statement, actual column; AUD thousands. Not the adjusted operating-ratio numerator.",Manual audited-statement transcription,,
carrathool,2020,2020-21,user_charges_fees,4640.0,AUD thousands,4640000.0,carrathool_2022,https://carrathool.nsw.gov.au/wp-content/uploads/IPR/Annual-Report/Annual-Report-2021-22-FINAL.pdf,"PDF page 47 (1-based), audited table, actual year 2021",user_charges_fees,carrathool_2022,"Audited income statement, actual column; AUD thousands. Not the adjusted operating-ratio numerator.",Manual audited-statement transcription,,
carrathool,2020,2020-21,other_revenue,812.0,AUD thousands,812000.0,carrathool_2022,https://carrathool.nsw.gov.au/wp-content/uploads/IPR/Annual-Report/Annual-Report-2021-22-FINAL.pdf,"PDF page 47 (1-based), audited table, actual year 2021",other_revenue,carrathool_2022,"Audited income statement, actual column; AUD thousands. Not the adjusted operating-ratio numerator.",Manual audited-statement transcription,,
carrathool,2020,2020-21,operating_grants,13681.0,AUD thousands,13681000.0,carrathool_2022,https://carrathool.nsw.gov.au/wp-content/uploads/IPR/Annual-Report/Annual-Report-2021-22-FINAL.pdf,"PDF page 47 (1-based), audited table, actual year 2021",operating_grants,carrathool_2022,"Audited income statement, actual column; AUD thousands. Not the adjusted operating-ratio numerator.",Manual audited-statement transcription,,
carrathool,2020,2020-21,capital_grants,3573.0,AUD thousands,3573000.0,carrathool_2022,https://carrathool.nsw.gov.au/wp-content/uploads/IPR/Annual-Report/Annual-Report-2021-22-FINAL.pdf,"PDF page 47 (1-based), audited table, actual year 2021",capital_grants,carrathool_2022,"Audited income statement, actual column; AUD thousands. Not the adjusted operating-ratio numerator.",Manual audited-statement transcription,,
carrathool,2020,2020-21,interest_investment,139.0,AUD thousands,139000.0,carrathool_2022,https://carrathool.nsw.gov.au/wp-content/uploads/IPR/Annual-Report/Annual-Report-2021-22-FINAL.pdf,"PDF page 47 (1-based), audited table, actual year 2021",interest_investment,carrathool_2022,"Audited income statement, actual column; AUD thousands. Not the adjusted operating-ratio numerator.",Manual audited-statement transcription,,
carrathool,2020,2020-21,other_income,0.0,AUD thousands,0.0,carrathool_2022,https://carrathool.nsw.gov.au/wp-content/uploads/IPR/Annual-Report/Annual-Report-2021-22-FINAL.pdf,"PDF page 47 (1-based), audited table, actual year 2021",other_income,carrathool_2022,"Audited income statement, actual column; AUD thousands. Not the adjusted operating-ratio numerator.",Manual audited-statement transcription,,
carrathool,2020,2020-21,disposal_gain,0.0,AUD thousands,0.0,carrathool_2022,https://carrathool.nsw.gov.au/wp-content/uploads/IPR/Annual-Report/Annual-Report-2021-22-FINAL.pdf,"PDF page 47 (1-based), audited table, actual year 2021",disposal_gain,carrathool_2022,"Audited income statement, actual column; AUD thousands. Not the adjusted operating-ratio numerator.",Manual audited-statement transcription,,
carrathool,2020,2020-21,employee_cost,7809.0,AUD thousands,7809000.0,carrathool_2022,https://carrathool.nsw.gov.au/wp-content/uploads/IPR/Annual-Report/Annual-Report-2021-22-FINAL.pdf,"PDF page 47 (1-based), audited table, actual year 2021",employee_cost,carrathool_2022,"Audited income statement, actual column; AUD thousands. Not the adjusted operating-ratio numerator.",Manual audited-statement transcription,,
carrathool,2020,2020-21,materials_services,9741.0,AUD thousands,9741000.0,carrathool_2022,https://carrathool.nsw.gov.au/wp-content/uploads/IPR/Annual-Report/Annual-Report-2021-22-FINAL.pdf,"PDF page 47 (1-based), audited table, actual year 2021",materials_services,carrathool_2022,"Audited income statement, actual column; AUD thousands. Not the adjusted operating-ratio numerator.",Manual audited-statement transcription,,
