target,test_year,split,feature,n,missing_n
operating_ratio_pct,2021,train,operating_ratio_pct__prior,121,0
operating_ratio_pct,2021,train,cash_cover_months__prior,121,0
operating_ratio_pct,2021,train,current_ratio__prior,121,0
operating_ratio_pct,2021,train,own_source_pct__prior,121,0
operating_ratio_pct,2021,train,debt_service_cover__prior,121,0
operating_ratio_pct,2021,train,maintenance_ratio_pct__prior,121,2
operating_ratio_pct,2021,train,population__prior,121,0
operating_ratio_pct,2021,train,road_km__prior,121,0
operating_ratio_pct,2021,train,fesm_burned_ha__event,121,0
operating_ratio_pct,2021,train,bushfire_declared_event_count__event,121,0
operating_ratio_pct,2021,train,flood_declared_event_count__event,121,0
operating_ratio_pct,2021,test,operating_ratio_pct__prior,124,0
operating_ratio_pct,2021,test,cash_cover_months__prior,124,0
operating_ratio_pct,2021,test,current_ratio__prior,124,0
operating_ratio_pct,2021,test,own_source_pct__prior,124,0
operating_ratio_pct,2021,test,debt_service_cover__prior,124,0
operating_ratio_pct,2021,test,maintenance_ratio_pct__prior,124,1
operating_ratio_pct,2021,test,population__prior,124,0
operating_ratio_pct,2021,test,road_km__prior,124,0
operating_ratio_pct,2021,test,fesm_burned_ha__event,124,0
operating_ratio_pct,2021,test,bushfire_declared_event_count__event,124,0
operating_ratio_pct,2021,test,flood_declared_event_count__event,124,0
operating_ratio_pct,2022,train,operating_ratio_pct__prior,243,0
operating_ratio_pct,2022,train,cash_cover_months__prior,243,0
operating_ratio_pct,2022,train,current_ratio__prior,243,0
operating_ratio_pct,2022,train,own_source_pct__prior,243,0
operating_ratio_pct,2022,train,debt_service_cover__prior,243,0
operating_ratio_pct,2022,train,maintenance_ratio_pct__prior,243,3
operating_ratio_pct,2022,train,population__prior,243,0
operating_ratio_pct,2022,train,road_km__prior,243,0
operating_ratio_pct,2022,train,fesm_burned_ha__event,243,0
operating_ratio_pct,2022,train,bushfire_declared_event_count__event,243,0
operating_ratio_pct,2022,train,flood_declared_event_count__event,243,0
operating_ratio_pct,2022,test,operating_ratio_pct__prior,122,0
operating_ratio_pct,2022,test,cash_cover_months__prior,122,0
operating_ratio_pct,2022,test,current_ratio__prior,122,0
operating_ratio_pct,2022,test,own_source_pct__prior,122,0
operating_ratio_pct,2022,test,debt_service_cover__prior,122,0
operating_ratio_pct,2022,test,maintenance_ratio_pct__prior,122,2
operating_ratio_pct,2022,test,population__prior,122,0
operating_ratio_pct,2022,test,road_km__prior,122,0
operating_ratio_pct,2022,test,fesm_burned_ha__event,122,0
operating_ratio_pct,2022,test,bushfire_declared_event_count__event,122,0
operating_ratio_pct,2022,test,flood_declared_event_count__event,122,0
operating_ratio_pct,2023,train,operating_ratio_pct__prior,367,0
operating_ratio_pct,2023,train,cash_cover_months__prior,367,0
operating_ratio_pct,2023,train,current_ratio__prior,367,0
operating_ratio_pct,2023,train,own_source_pct__prior,367,0
operating_ratio_pct,2023,train,debt_service_cover__prior,367,0
operating_ratio_pct,2023,train,maintenance_ratio_pct__prior,367,4
operating_ratio_pct,2023,train,population__prior,367,0
operating_ratio_pct,2023,train,road_km__prior,367,0
operating_ratio_pct,2023,train,fesm_burned_ha__event,367,0
operating_ratio_pct,2023,train,bushfire_declared_event_count__event,367,0
operating_ratio_pct,2023,train,flood_declared_event_count__event,367,0
operating_ratio_pct,2023,test,operating_ratio_pct__prior,124,0
operating_ratio_pct,2023,test,cash_cover_months__prior,124,0
operating_ratio_pct,2023,test,current_ratio__prior,124,0
operating_ratio_pct,2023,test,own_source_pct__prior,124,0
operating_ratio_pct,2023,test,debt_service_cover__prior,124,0
operating_ratio_pct,2023,test,maintenance_ratio_pct__prior,124,2
operating_ratio_pct,2023,test,population__prior,124,0
operating_ratio_pct,2023,test,road_km__prior,124,0
operating_ratio_pct,2023,test,fesm_burned_ha__event,124,0
operating_ratio_pct,2023,test,bushfire_declared_event_count__event,124,0
operating_ratio_pct,2023,test,flood_declared_event_count__event,124,0
cash_cover_months,2021,train,operating_ratio_pct__prior,121,0
cash_cover_months,2021,train,cash_cover_months__prior,121,0
cash_cover_months,2021,train,current_ratio__prior,121,0
cash_cover_months,2021,train,own_source_pct__prior,121,0
cash_cover_months,2021,train,debt_service_cover__prior,121,0
cash_cover_months,2021,train,maintenance_ratio_pct__prior,121,2
cash_cover_months,2021,train,population__prior,121,0
cash_cover_months,2021,train,road_km__prior,121,0
cash_cover_months,2021,train,fesm_burned_ha__event,121,0
cash_cover_months,2021,train,bushfire_declared_event_count__event,121,0
cash_cover_months,2021,train,flood_declared_event_count__event,121,0
cash_cover_months,2021,test,operating_ratio_pct__prior,124,0
cash_cover_months,2021,test,cash_cover_months__prior,124,0
cash_cover_months,2021,test,current_ratio__prior,124,0
cash_cover_months,2021,test,own_source_pct__prior,124,0
cash_cover_months,2021,test,debt_service_cover__prior,124,0
cash_cover_months,2021,test,maintenance_ratio_pct__prior,124,1
cash_cover_months,2021,test,population__prior,124,0
cash_cover_months,2021,test,road_km__prior,124,0
cash_cover_months,2021,test,fesm_burned_ha__event,124,0
cash_cover_months,2021,test,bushfire_declared_event_count__event,124,0
cash_cover_months,2021,test,flood_declared_event_count__event,124,0
cash_cover_months,2022,train,operating_ratio_pct__prior,244,1
cash_cover_months,2022,train,cash_cover_months__prior,244,0
cash_cover_months,2022,train,current_ratio__prior,244,0
cash_cover_months,2022,train,own_source_pct__prior,244,0
cash_cover_months,2022,train,debt_service_cover__prior,244,0
cash_cover_months,2022,train,maintenance_ratio_pct__prior,244,4
cash_cover_months,2022,train,population__prior,244,0
cash_cover_months,2022,train,road_km__prior,244,0
cash_cover_months,2022,train,fesm_burned_ha__event,244,0
cash_cover_months,2022,train,bushfire_declared_event_count__event,244,0
cash_cover_months,2022,train,flood_declared_event_count__event,244,0
cash_cover_months,2022,test,operating_ratio_pct__prior,122,0
cash_cover_months,2022,test,cash_cover_months__prior,122,0
cash_cover_months,2022,test,current_ratio__prior,122,0
cash_cover_months,2022,test,own_source_pct__prior,122,0
cash_cover_months,2022,test,debt_service_cover__prior,122,0
cash_cover_months,2022,test,maintenance_ratio_pct__prior,122,2
cash_cover_months,2022,test,population__prior,122,0
cash_cover_months,2022,test,road_km__prior,122,0
cash_cover_months,2022,test,fesm_burned_ha__event,122,0
cash_cover_months,2022,test,bushfire_declared_event_count__event,122,0
cash_cover_months,2022,test,flood_declared_event_count__event,122,0
cash_cover_months,2023,train,operating_ratio_pct__prior,368,1
cash_cover_months,2023,train,cash_cover_months__prior,368,0
cash_cover_months,2023,train,current_ratio__prior,368,0
cash_cover_months,2023,train,own_source_pct__prior,368,0
