attempt_manifest,url,file,status,error
nema_old_attempts_manifest.json,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/462acfff-f2e0-4446-a0fb-f20f8a19f487/download/drfa_activation_history_by_location_2025_may_19.csv,nema_old_attempt_0.csv,404,
nema_old_attempts_manifest.json,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/462acfff-f2e0-4446-a0fb-f20f8a19f487/download/drfa_activation_history_by_location_2025_march_06.csv,nema_old_attempt_1.csv,404,
nema_old_attempts_manifest.json,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/462acfff-f2e0-4446-a0fb-f20f8a19f487/download/drfa_activation_history_by_location_2025_february_14.csv,nema_old_attempt_2.csv,404,
nema_old_attempts_manifest.json,https://data.gov.au/data/api/3/action/datastore_search?resource_id=462acfff-f2e0-4446-a0fb-f20f8a19f487&limit=1,nema_old_datastore.json,302,
download_manifest.json,https://data.gov.au/data/api/3/action/package_show?id=drfa-activation-history-by-lga,nema_metadata.json,,
download_manifest.json,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv,nema_drfa.csv,,
download_manifest.json,https://www.environment.nsw.gov.au/sites/default/files/2024-09/fire-extent-severity-mapping-results-2016-17.xlsx,fesm_2016_17.xlsx,,
download_manifest.json,https://datasets.seed.nsw.gov.au/api/3/action/package_show?id=historical-fire-extent-and-severity-mapping-fesm-statewide-201213,fesm_metadata_2012.json,,
download_manifest.json,https://datasets.seed.nsw.gov.au/dataset/4d0de137-501e-495a-9b00-e802678f3ad7/resource/ee67d740-c286-4739-a3fa-033a357014fe/download/cvmsre_nswwildfire_20122013_ag1l0.zip,fesm_wildfires_2012.zip,,
download_manifest.json,https://datasets.seed.nsw.gov.au/dataset/historical-fire-extent-and-severity-mapping-fesm-statewide-201213/resource/data_quality_report/pdf,fesm_historical_quality.pdf,,
download_manifest.json,https://datasets.seed.nsw.gov.au/api/3/action/package_show?id=historical-fire-extent-and-severity-mapping-fesm-statewide-201314,fesm_metadata_2013.json,,
download_manifest.json,https://datasets.seed.nsw.gov.au/dataset/faf74450-77e9-4023-8282-3f672d51b25f/resource/ea484b74-a314-423b-b4de-cfee28c3e12c/download/cvmsre_nswwildfire_20132014_ag1l0.zip,fesm_wildfires_2013.zip,,
download_manifest.json,https://datasets.seed.nsw.gov.au/api/3/action/package_show?id=historical-fire-extent-and-severity-mapping-fesm-statewide-201415,fesm_metadata_2014.json,,
download_manifest.json,https://datasets.seed.nsw.gov.au/dataset/5c8ba8c8-2518-460c-be6c-0901e4b77a3f/resource/75f383f2-7664-4892-af65-d0c46f60c987/download/cvmsre_nswwildfire_20142015_ag1l0.zip,fesm_wildfires_2014.zip,,
download_manifest.json,https://datasets.seed.nsw.gov.au/api/3/action/package_show?id=historical-fire-extent-and-severity-mapping-fesm-statewide-201516,fesm_metadata_2015.json,,
download_manifest.json,https://datasets.seed.nsw.gov.au/dataset/83620eb4-1c0f-4ef4-a5d7-d34cb545d8f7/resource/d2b12d49-7e65-457c-8359-1040d685275f/download/cvmsre_nswwildfire_20152016_ag1l0.zip,fesm_wildfires_2015.zip,,
raa_2016_redirect_manifest.json,https://files.parliament.nsw.gov.au/fileapi/ParlFiles/GetArtifact?serverRelativeUrl=/tp/files/72400/NSW+Rural+Assistance+Authority+Annual+Report.PDF,,200,
