file,bytes,sha256,source_url,role
sources/archive_retry_manifest.json,1398,14bedb40ad7dbbe16f35442ff67b32d28fab1595f8e2849dd49b6a1d1c647d7a,,"supporting metadata, search evidence or unsuccessful retrieval; not automatically valid input"
sources/download_manifest.json,4642,9e83a7f6fcbed7597f022673b49756be178db9d9c303fbc418cf88f5fa239437,,"supporting metadata, search evidence or unsuccessful retrieval; not automatically valid input"
sources/emergency_old_2014.html,269078,d2ab6fbe3c92755fe24cd9d7551a678771e8f5c962ca8aede529e0fbf633937a,https://www.emergency.nsw.gov.au/publications/natural-disaster-declarations/2014-2015.html,"supporting metadata, search evidence or unsuccessful retrieval; not automatically valid input"
sources/fesm2016_spatial_manifest.json,720,99010ef64ea5c0c95abe569a17c0cdbd3b63affcde3de6096a0fe1d7a48d6bf1,,"supporting metadata, search evidence or unsuccessful retrieval; not automatically valid input"
sources/fesm_2016_17.xlsx,263489,67aaf911a343087ef332841e65c8b4b24c6e0d6f6c5384f5a1e5f37927704b3f,https://www.environment.nsw.gov.au/sites/default/files/2024-09/fire-extent-severity-mapping-results-2016-17.xlsx,audit only; area-percent inconsistency; not used for candidate area
sources/fesm_2016_report.pdf,3769568,a3ace59bbbe41040c14c4a2d7abfe8aa368f2f8f886982ca4c5660230cfdddc5,https://www.environment.nsw.gov.au/sites/default/files/2025-01/fire-extent-severity-mapping-2020-21-2016-17-220206.pdf,"sensor and retrospective publication evidence, May2022"
sources/fesm_2016_vector.zip,19455916,72f93742cf1633832b778fc9d8189b3226fe9254998d740e3ac487b34e8dd991,https://datasets.seed.nsw.gov.au/dataset/eeaf2006-db96-4218-a124-43b19cd15765/resource/90cb3547-196f-480b-a0c7-9d834f794129/download/fire_fesm_2016_17.zip,accepted historical mapped wildfire raster package (cache filename does not describe format)
sources/fesm_archive_2012.json,10270,ae959f828c04f30df56a97ae5bddda8cd42d953a9c9b91af4a354ed3d27530af,https://datasets.seed.nsw.gov.au/api/3/action/package_show?id=historical-fire-extent-and-severity-mapping-fesm-statewide-201213,"supporting metadata, search evidence or unsuccessful retrieval; not automatically valid input"
sources/fesm_historical_quality.pdf,26064,5b32ba5d04bd0c70b0109d27256cb16f6fbfe5db99bbb3a77f13ff099010858e,https://datasets.seed.nsw.gov.au/dataset/historical-fire-extent-and-severity-mapping-fesm-statewide-201213/resource/data_quality_report/pdf,"supporting metadata, search evidence or unsuccessful retrieval; not automatically valid input"
sources/fesm_metadata_2012.json,10270,ae959f828c04f30df56a97ae5bddda8cd42d953a9c9b91af4a354ed3d27530af,https://datasets.seed.nsw.gov.au/api/3/action/package_show?id=historical-fire-extent-and-severity-mapping-fesm-statewide-201213,"supporting metadata, search evidence or unsuccessful retrieval; not automatically valid input"
sources/fesm_metadata_2013.json,10270,83665b2ac0668a4cac31f009a26d501a0c91a5cd4b804322877752178e785336,https://datasets.seed.nsw.gov.au/api/3/action/package_show?id=historical-fire-extent-and-severity-mapping-fesm-statewide-201314,"supporting metadata, search evidence or unsuccessful retrieval; not automatically valid input"
