target,test_year,council_key,model,actual,prior,predicted,change,mapped_fire_positive,bushfire_declared,flood_declared,error,absolute_error,squared_error,tree_adjustment,persistence_absolute_error,extra_absolute_error,tree_improves,tree_worsens,same_direction,display_name
operating_ratio_pct,2021,albury,full_level_tree,-2.11,3.05,-0.9272340425531912,-5.16,False,False,False,1.1827659574468088,1.1827659574468088,1.3989353100950663,-3.977234042553191,5.16,-3.9772340425531914,True,False,True,Albury
operating_ratio_pct,2021,ballina,full_level_tree,0.48,3.39,-0.9272340425531912,-2.91,False,False,True,-1.407234042553191,1.407234042553191,1.9803076505205963,-4.317234042553191,2.91,-1.502765957446809,True,False,True,Ballina
operating_ratio_pct,2021,balranald,full_level_tree,11.99,-2.65,-7.816666666666667,14.64,False,False,False,-19.80666666666667,19.80666666666667,392.3040444444445,-5.166666666666668,14.64,5.166666666666668,False,True,False,Balranald
operating_ratio_pct,2021,bathurst,full_level_tree,-20.8,-21.84,-7.816666666666667,1.0399999999999991,False,False,True,12.983333333333334,12.983333333333334,168.56694444444446,14.023333333333333,1.0399999999999991,11.943333333333335,False,True,True,Bathurst Regional
operating_ratio_pct,2021,bayside,full_level_tree,5.62,2.33,-0.9272340425531912,3.29,False,False,False,-6.547234042553192,6.547234042553192,42.86627360796741,-3.257234042553191,3.29,3.2572340425531916,False,True,False,Bayside
operating_ratio_pct,2021,begavalley,full_level_tree,11.77,2.13,-0.9272340425531912,9.64,False,False,True,-12.697234042553191,12.697234042553191,161.21975233137164,-3.057234042553191,9.64,3.0572340425531905,False,True,False,Bega Valley
operating_ratio_pct,2021,bellingen,full_level_tree,8.77,-2.8,-7.816666666666667,11.57,False,False,True,-16.586666666666666,16.586666666666666,275.11751111111107,-5.0166666666666675,11.57,5.016666666666666,False,True,False,Bellingen
operating_ratio_pct,2021,berrigan,full_level_tree,-2.0,5.6,-0.9272340425531912,-7.6,False,False,False,1.072765957446809,1.072765957446809,1.1508267994567687,-6.527234042553191,7.6,-6.527234042553191,True,False,True,Berrigan
operating_ratio_pct,2021,blacktown,full_level_tree,-2.94,-4.61,-7.816666666666667,1.6700000000000004,False,False,True,-4.876666666666667,4.876666666666667,23.78187777777778,-3.206666666666667,1.6700000000000004,3.2066666666666666,False,True,False,Blacktown
operating_ratio_pct,2021,bland,full_level_tree,17.02,13.95,6.330740740740739,3.0700000000000003,True,False,False,-10.689259259259261,10.689259259259261,114.26026351165984,-7.619259259259261,3.0700000000000003,7.619259259259261,False,True,False,Bland
operating_ratio_pct,2021,blayney,full_level_tree,-0.86,-5.0,-7.816666666666667,4.14,False,False,False,-6.956666666666667,6.956666666666667,48.39521111111112,-2.8166666666666673,4.14,2.8166666666666673,False,True,False,Blayney
operating_ratio_pct,2021,bluemountains,full_level_tree,5.15,-3.59,-7.816666666666667,8.74,False,False,True,-12.966666666666669,12.966666666666669,168.13444444444448,-4.2266666666666675,8.74,4.226666666666668,False,True,False,Blue Mountains
operating_ratio_pct,2021,bogan,full_level_tree,7.79,-3.81,-7.816666666666667,11.6,True,False,True,-15.606666666666667,15.606666666666667,243.56804444444447,-4.006666666666668,11.6,4.006666666666668,False,True,False,Bogan
operating_ratio_pct,2021,bourke,full_level_tree,0.14,1.77,-0.9272340425531912,-1.63,True,False,False,-1.0672340425531912,1.0672340425531912,1.1389885015844268,-2.697234042553191,1.63,-0.5627659574468087,True,False,True,Bourke
operating_ratio_pct,2021,brewarrina,full_level_tree,6.74,28.4,6.330740740740739,-21.659999999999997,False,False,True,-0.40925925925926165,0.40925925925926165,0.16749314128943954,-22.069259259259262,21.659999999999997,-21.250740740740735,True,False,True,Brewarrina
