target,test_year,test_fy,model,n_reproduced,MAE_reproduced,RMSE_reproduced,R2_reproduced,n_frozen,MAE_frozen,RMSE_frozen,R2_frozen
operating_ratio_pct,2021,2021-22,training_mean,124,6.595391895494535,9.032476921156215,-0.0450701103817257,124,6.595391895494535,9.032476921156215,-0.0450701103817257
operating_ratio_pct,2021,2021-22,persistence,124,6.393951612903226,8.47301318418394,0.08038198567251298,124,6.393951612903226,8.47301318418394,0.0803819856725129
operating_ratio_pct,2021,2021-22,decision_tree,124,6.987842624367677,8.923551270398464,-0.020016394531828352,124,6.987842624367677,8.923551270398464,-0.0200163945318283
operating_ratio_pct,2022,2022-23,training_mean,122,8.197226607299466,10.465925854552397,-0.2583746049166529,122,8.197226607299466,10.465925854552395,-0.2583746049166529
operating_ratio_pct,2022,2022-23,persistence,122,7.8204918032786885,9.993560467604732,-0.14734790525993424,122,7.820491803278688,9.993560467604732,-0.1473479052599342
operating_ratio_pct,2022,2022-23,decision_tree,122,8.583122478140202,10.367593972731788,-0.234839743857846,122,8.583122478140202,10.367593972731788,-0.234839743857846
operating_ratio_pct,2023,2023-24,training_mean,124,7.768223609035775,10.416579830505517,-0.013709556293896474,124,7.768223609035775,10.416579830505516,-0.0137095562938964
operating_ratio_pct,2023,2023-24,persistence,124,6.615161290322581,8.551434514633467,0.31681047930269124,124,6.615161290322581,8.551434514633467,0.3168104793026912
operating_ratio_pct,2023,2023-24,decision_tree,124,6.64672748116842,8.495600537770384,0.3257027088242699,124,6.64672748116842,8.495600537770384,0.3257027088242699
cash_cover_months,2021,2021-22,training_mean,124,5.89160217941882,8.243592572373373,-0.05013227361751649,124,5.89160217941882,8.243592572373373,-0.0501322736175164
cash_cover_months,2021,2021-22,persistence,124,3.763886290322581,5.161601521916273,0.5883009026409523,124,3.763886290322581,5.161601521916273,0.5883009026409523
cash_cover_months,2021,2021-22,decision_tree,124,4.471395478983384,6.309962868526904,0.38473165087423644,124,4.471395478983384,6.309962868526904,0.3847316508742364
cash_cover_months,2022,2022-23,training_mean,122,5.622818610588551,7.819678602000364,-0.05336429776125362,122,5.622818610588551,7.819678602000364,-0.0533642977612536
cash_cover_months,2022,2022-23,persistence,122,3.8477385245901634,5.047330219564385,0.5611417913211432,122,3.8477385245901634,5.047330219564385,0.5611417913211432
cash_cover_months,2022,2022-23,decision_tree,122,4.101850775942095,5.477137620575953,0.48321714809891747,122,4.101850775942095,5.477137620575953,0.4832171480989174
cash_cover_months,2023,2023-24,training_mean,124,5.539485146388499,7.527886076315009,-0.00851144933361847,124,5.539485146388499,7.527886076315009,-0.0085114493336184
cash_cover_months,2023,2023-24,persistence,124,3.786871774193548,5.315335869102813,0.49719894375543694,124,3.786871774193548,5.315335869102813,0.4971989437554369
cash_cover_months,2023,2023-24,decision_tree,124,4.3756914563707126,5.961775018098652,0.36746301726944,124,4.3756914563707126,5.961775018098652,0.36746301726944
maintenance_ratio_pct,2021,2021-22,training_mean,122,20.460808909582752,26.843702974826314,-0.003842938633121129,122,20.460808909582752,26.84370297482631,-0.0038429386331211
maintenance_ratio_pct,2021,2021-22,persistence,122,23.385954033946543,51.782976825578416,-2.735553363178975,122,23.385954033946543,51.782976825578416,-2.735553363178975
maintenance_ratio_pct,2021,2021-22,decision_tree,122,19.4536869719581,26.341859992689944,0.0333398993976024,122,19.4536869719581,26.341859992689944,0.0333398993976024
maintenance_ratio_pct,2022,2022-23,training_mean,120,23.132492056048672,35.03693253721532,-0.023602035811770117,120,23.132492056048672,35.03693253721532,-0.0236020358117701
maintenance_ratio_pct,2022,2022-23,persistence,120,21.067458450461512,32.59358846820423,0.11418436262204557,120,21.067458450461512,32.59358846820423,0.1141843626220455
maintenance_ratio_pct,2022,2022-23,decision_tree,120,21.51393965032245,32.67259861817012,0.10988454421288785,120,21.51393965032245,32.67259861817012,0.1098845442128878
maintenance_ratio_pct,2023,2023-24,training_mean,122,22.07221764219548,33.048263556803086,-0.011338919384079604,122,22.07221764219548,33.048263556803086,-0.0113389193840796
maintenance_ratio_pct,2023,2023-24,persistence,122,21.010704084717272,30.258038203109702,0.1522243014194452,122,21.010704084717272,30.258038203109702,0.1522243014194452
maintenance_ratio_pct,2023,2023-24,decision_tree,122,21.13556686474218,29.941411637024974,0.16987408168089446,122,21.13556686474218,29.941411637024977,0.1698740816808944
maintenance_ratio_pct,2024,2024-25,training_mean,121,23.020036058766028,33.83555675701588,-0.00021104185425935285,121,23.020036058766028,33.83555675701588,-0.0002110418542593
maintenance_ratio_pct,2024,2024-25,persistence,121,22.852550135630697,38.875925778154446,-0.3204029289934218,121,22.852550135630697,38.875925778154446,-0.3204029289934218
maintenance_ratio_pct,2024,2024-25,decision_tree,121,21.524320801266583,33.719327448517056,0.006648852040743836,121,21.524320801266583,33.719327448517056,0.0066488520407438
