target,history,test_year,test_fy,spec,model,n,train_n,ridge_alpha,MAE,RMSE,R2,persistence_MAE,persistence_RMSE,persistence_R2,MAE_improvement_vs_persistence,MAE_improvement_pct_vs_persistence,RMSE_improvement_vs_persistence,RMSE_improvement_pct_vs_persistence,wins_both_errors
operating_ratio_pct,long,2016,2016-17,baseline,persistence,102,102,,10.498235294117647,13.159990464267361,-1.3936961847670544,10.498235294117647,13.159990464267361,-1.3936961847670544,0.0,0.0,0.0,0.0,False
operating_ratio_pct,long,2016,2016-17,baseline,training_mean,102,102,,10.990715109573241,13.131672164687576,-1.3834055278093311,10.498235294117647,13.159990464267361,-1.3936961847670544,-0.49247981545559405,-4.69107237224469,0.02831829957978549,0.2151848031856611,False
operating_ratio_pct,long,2016,2016-17,fiscal_only,ridge,102,102,10.0,8.766113940105695,11.091521153110538,-0.7003569544675916,10.498235294117647,13.159990464267361,-1.3936961847670544,1.7321213540119516,16.499166816945806,2.0684693111568233,15.71786329764623,True
operating_ratio_pct,long,2016,2016-17,fiscal_only,tree,102,102,,9.430817241037829,11.936753332038354,-0.9693836012821957,10.498235294117647,13.159990464267361,-1.3936961847670544,1.0674180530798179,10.167595059313557,1.2232371322290074,9.295121721785435,True
operating_ratio_pct,long,2016,2016-17,fiscal_plus_fire,ridge,102,102,10.0,8.59757828588652,10.908394205252026,-0.644672862059775,10.498235294117647,13.159990464267361,-1.3936961847670544,1.9006570082311267,18.104538095998855,2.2515962590153347,17.109406462937624,True
operating_ratio_pct,long,2016,2016-17,fiscal_plus_fire,tree,102,102,,9.430817241037829,11.936753332038354,-0.9693836012821957,10.498235294117647,13.159990464267361,-1.3936961847670544,1.0674180530798179,10.167595059313557,1.2232371322290074,9.295121721785435,True
operating_ratio_pct,long,2016,2016-17,fiscal_plus_disaster,ridge,102,102,10.0,8.101487618765796,10.449469010983123,-0.5091983549423147,10.498235294117647,13.159990464267361,-1.3936961847670544,2.3967476753518504,22.83000531236704,2.7105214532842385,20.59668250249859,True
operating_ratio_pct,long,2016,2016-17,fiscal_plus_disaster,tree,102,102,,9.430817241037829,11.936753332038354,-0.9693836012821953,10.498235294117647,13.159990464267361,-1.3936961847670544,1.0674180530798179,10.167595059313557,1.2232371322290074,9.295121721785435,True
operating_ratio_pct,long,2017,2017-18,baseline,persistence,102,205,,5.7164705882352935,8.209994506936138,0.11042985227030433,5.7164705882352935,8.209994506936138,0.11042985227030433,0.0,0.0,0.0,0.0,False
operating_ratio_pct,long,2017,2017-18,baseline,training_mean,102,205,,6.448098995695839,8.81818011976554,-0.026248175967293008,5.7164705882352935,8.209994506936138,0.11042985227030433,-0.7316284074605459,-12.798603546850467,-0.6081856128294021,-7.4078686936462885,False
