target,spec,model,period,n,years,long_MAE,long_RMSE,long_R2,short_MAE,short_RMSE,short_R2,MAE_improvement_with_longer_history,RMSE_improvement_with_longer_history
cash_cover_months,baseline,persistence,all_common_years,307,3,3.901848534201954,5.2761708914266086,0.5101646853108243,3.901848534201954,5.2761708914266086,0.5101646853108243,0.0,0.0
cash_cover_months,baseline,persistence,2021,103,1,4.032728155339806,5.4714507112138655,0.513935787586933,4.032728155339806,5.4714507112138655,0.513935787586933,0.0,0.0
cash_cover_months,baseline,persistence,2022,101,1,3.812163366336634,5.006712787996246,0.5396387188047296,3.812163366336634,5.006712787996246,0.5396387188047296,0.0,0.0
cash_cover_months,baseline,persistence,2023,103,1,3.858912621359224,5.334434359437337,0.47608236530226067,3.858912621359224,5.334434359437337,0.47608236530226067,0.0,0.0
cash_cover_months,baseline,training_mean,all_common_years,307,3,5.525428704424411,7.786414847030643,-0.06681094364538986,5.514737242086513,7.696195139272058,-0.04223229648728699,-0.010691462337898194,-0.09021970775858446
cash_cover_months,baseline,training_mean,2021,103,1,5.68480548581614,8.09162615876159,-0.0630661342215495,5.674449571673329,8.04231159391318,-0.050147867532137624,-0.010355914142810896,-0.04931456484841057
cash_cover_months,baseline,training_mean,2022,101,1,5.420688210726609,7.70605260272688,-0.09057960399143572,5.389837856726849,7.593247504508509,-0.0588843873575664,-0.030850353999760216,-0.11280509821837104
cash_cover_months,baseline,training_mean,2023,103,1,5.468758620736349,7.550028672804724,-0.04950247645214323,5.477499067075678,7.438246573486122,-0.018655671504453464,0.008740446339329466,-0.11178209931860206
cash_cover_months,fiscal_only,ridge,all_common_years,307,3,3.767043095753333,5.024351097064365,0.5558063508014244,3.9678696619266858,5.713731623858899,0.42555022945303833,0.20082656617335282,0.6893805267945341
cash_cover_months,fiscal_only,ridge,2021,103,1,4.043826536527194,5.364941701927422,0.5326753623771096,4.423549277857783,6.522769091264018,0.3091994527901405,0.37972274133058903,1.157827389336596
cash_cover_months,fiscal_only,ridge,2022,101,1,3.6349316746978424,4.779421889265571,0.5804882114470786,3.7914891057462055,5.5945660641546,0.4251874441433383,0.15655743104836306,0.8151441748890296
cash_cover_months,fiscal_only,ridge,2023,103,1,3.619805805723206,4.905121094018679,0.55701835395959,3.685145737007516,4.90594893349275,0.556868816922112,0.06533993128430993,0.000827839474070835
cash_cover_months,fiscal_only,tree,all_common_years,307,3,4.058025045989522,5.60028938609843,0.44813440031848406,4.298373287725395,5.909738110184824,0.38546183917946286,0.2403482417358731,0.3094487240863941
cash_cover_months,fiscal_only,tree,2021,103,1,4.1722631498148,6.058508662676364,0.4040358576487595,4.622374858151557,6.445507509061442,0.32546746637320734,0.45011170833675695,0.38699884638507775
cash_cover_months,fiscal_only,tree,2022,101,1,3.985326419334238,5.392743151261582,0.46591189621534657,4.064160200664409,5.608951439381088,0.4222275987648777,0.07883378133017072,0.216208288119506
cash_cover_months,fiscal_only,tree,2023,103,1,4.01507394500098,5.315845702071015,0.47972734670138506,4.204036977426996,5.6305270785198545,0.4163071563834756,0.18896303242601586,0.3146813764488394
cash_cover_months,fiscal_plus_disaster,ridge,all_common_years,307,3,3.7052480651572997,4.964575274024359,0.5663128192747237,3.935818705121063,5.6514034876998425,0.4380146222983401,0.23057063996376348,0.6868282136754837
cash_cover_months,fiscal_plus_disaster,ridge,2021,103,1,3.9234234415923885,5.26287811073378,0.5502871602157156,4.376056457460606,6.4289761153242,0.32892310207899933,0.452633015868217,1.1660980045904203
cash_cover_months,fiscal_plus_disaster,ridge,2022,101,1,3.560196201098822,4.716312542594396,0.5914938609358544,3.755595833442494,5.542890685762693,0.43575715552944205,0.1953996323436722,0.8265781431682964
cash_cover_months,fiscal_plus_disaster,ridge,2023,103,1,3.6293080117310086,4.894166416705714,0.5589947790342523,3.672304351223613,4.87197354451459,0.5629852368289756,0.042996339492604285,-0.022192872191123314
cash_cover_months,fiscal_plus_disaster,tree,all_common_years,307,3,4.058025045989522,5.60028938609843,0.44813440031848395,4.298373287725394,5.909738110184824,0.38546183917946286,0.24034824173587221,0.3094487240863941
cash_cover_months,fiscal_plus_disaster,tree,2021,103,1,4.1722631498148,6.058508662676364,0.4040358576487594,4.622374858151556,6.445507509061442,0.32546746637320734,0.45011170833675607,0.38699884638507775
cash_cover_months,fiscal_plus_disaster,tree,2022,101,1,3.985326419334239,5.392743151261582,0.46591189621534645,4.064160200664409,5.608951439381088,0.4222275987648777,0.07883378133016983,0.216208288119506
cash_cover_months,fiscal_plus_disaster,tree,2023,103,1,4.015073945000981,5.315845702071016,0.47972734670138495,4.204036977426996,5.630527078519853,0.41630715638347604,0.18896303242601498,0.31468137644883676
cash_cover_months,fiscal_plus_fire,ridge,all_common_years,307,3,3.759713247368888,5.017077885004828,0.5570914426132532,3.952949899835654,5.662700144906258,0.43576565837894843,0.1932366524667657,0.6456222599014296
cash_cover_months,fiscal_plus_fire,ridge,2021,103,1,4.023557335536455,5.351784349017907,0.5349647499254392,4.382245112691446,6.413820983870065,0.33208325422839724,0.3586877771549908,1.0620366348521575
