target,spec,history,outer_year,inner_year,alpha,MAE,validation_n
operating_ratio_pct,fiscal_only,long,2018,2016,0.1,8.591732035913383,102
operating_ratio_pct,fiscal_only,long,2018,2016,1.0,8.609315540851457,102
operating_ratio_pct,fiscal_only,long,2018,2016,10.0,8.766113940105695,102
operating_ratio_pct,fiscal_only,long,2018,2016,100.0,9.539165346305575,102
operating_ratio_pct,fiscal_plus_fire,long,2018,2016,0.1,8.409434688073611,102
operating_ratio_pct,fiscal_plus_fire,long,2018,2016,1.0,8.427670569848564,102
operating_ratio_pct,fiscal_plus_fire,long,2018,2016,10.0,8.59757828588652,102
operating_ratio_pct,fiscal_plus_fire,long,2018,2016,100.0,9.437191017020195,102
operating_ratio_pct,fiscal_plus_disaster,long,2018,2016,0.1,7.88501963175171,102
operating_ratio_pct,fiscal_plus_disaster,long,2018,2016,1.0,7.9063544262403065,102
operating_ratio_pct,fiscal_plus_disaster,long,2018,2016,10.0,8.101487618765796,102
operating_ratio_pct,fiscal_plus_disaster,long,2018,2016,100.0,9.100858992584376,102
operating_ratio_pct,fiscal_only,long,2019,2016,0.1,8.591732035913383,102
operating_ratio_pct,fiscal_only,long,2019,2016,1.0,8.609315540851457,102
operating_ratio_pct,fiscal_only,long,2019,2016,10.0,8.766113940105695,102
operating_ratio_pct,fiscal_only,long,2019,2016,100.0,9.539165346305575,102
operating_ratio_pct,fiscal_only,long,2019,2017,0.1,6.930704145868258,102
operating_ratio_pct,fiscal_only,long,2019,2017,1.0,6.9038783336188985,102
operating_ratio_pct,fiscal_only,long,2019,2017,10.0,6.666126908436551,102
operating_ratio_pct,fiscal_only,long,2019,2017,100.0,5.840064485101082,102
operating_ratio_pct,fiscal_plus_fire,long,2019,2016,0.1,8.409434688073611,102
operating_ratio_pct,fiscal_plus_fire,long,2019,2016,1.0,8.427670569848564,102
operating_ratio_pct,fiscal_plus_fire,long,2019,2016,10.0,8.59757828588652,102
operating_ratio_pct,fiscal_plus_fire,long,2019,2016,100.0,9.437191017020195,102
operating_ratio_pct,fiscal_plus_fire,long,2019,2017,0.1,6.853914689024583,102
operating_ratio_pct,fiscal_plus_fire,long,2019,2017,1.0,6.827585795874826,102
operating_ratio_pct,fiscal_plus_fire,long,2019,2017,10.0,6.596683716872607,102
operating_ratio_pct,fiscal_plus_fire,long,2019,2017,100.0,5.796410155833258,102
operating_ratio_pct,fiscal_plus_disaster,long,2019,2016,0.1,7.88501963175171,102
operating_ratio_pct,fiscal_plus_disaster,long,2019,2016,1.0,7.9063544262403065,102
operating_ratio_pct,fiscal_plus_disaster,long,2019,2016,10.0,8.101487618765796,102
operating_ratio_pct,fiscal_plus_disaster,long,2019,2016,100.0,9.100858992584376,102
operating_ratio_pct,fiscal_plus_disaster,long,2019,2017,0.1,6.654302516875126,102
operating_ratio_pct,fiscal_plus_disaster,long,2019,2017,1.0,6.6328904805503335,102
operating_ratio_pct,fiscal_plus_disaster,long,2019,2017,10.0,6.437321544405122,102
operating_ratio_pct,fiscal_plus_disaster,long,2019,2017,100.0,5.729571453352628,102
operating_ratio_pct,fiscal_only,long,2020,2016,0.1,8.591732035913383,102
operating_ratio_pct,fiscal_only,long,2020,2016,1.0,8.609315540851457,102
operating_ratio_pct,fiscal_only,long,2020,2016,10.0,8.766113940105695,102
operating_ratio_pct,fiscal_only,long,2020,2016,100.0,9.539165346305575,102
operating_ratio_pct,fiscal_only,long,2020,2017,0.1,6.930704145868258,102
operating_ratio_pct,fiscal_only,long,2020,2017,1.0,6.9038783336188985,102
operating_ratio_pct,fiscal_only,long,2020,2017,10.0,6.666126908436551,102
operating_ratio_pct,fiscal_only,long,2020,2017,100.0,5.840064485101082,102
operating_ratio_pct,fiscal_only,long,2020,2018,0.1,12.261756290828071,103
operating_ratio_pct,fiscal_only,long,2020,2018,1.0,12.234831258142814,103
operating_ratio_pct,fiscal_only,long,2020,2018,10.0,11.97803906241096,103
operating_ratio_pct,fiscal_only,long,2020,2018,100.0,10.28198825364706,103
operating_ratio_pct,fiscal_plus_fire,long,2020,2016,0.1,8.409434688073611,102
operating_ratio_pct,fiscal_plus_fire,long,2020,2016,1.0,8.427670569848564,102
operating_ratio_pct,fiscal_plus_fire,long,2020,2016,10.0,8.59757828588652,102
operating_ratio_pct,fiscal_plus_fire,long,2020,2016,100.0,9.437191017020195,102
operating_ratio_pct,fiscal_plus_fire,long,2020,2017,0.1,6.853914689024583,102
operating_ratio_pct,fiscal_plus_fire,long,2020,2017,1.0,6.827585795874826,102
operating_ratio_pct,fiscal_plus_fire,long,2020,2017,10.0,6.596683716872607,102
operating_ratio_pct,fiscal_plus_fire,long,2020,2017,100.0,5.796410155833258,102
operating_ratio_pct,fiscal_plus_fire,long,2020,2018,0.1,12.09297516137912,103
operating_ratio_pct,fiscal_plus_fire,long,2020,2018,1.0,12.066066920813897,103
operating_ratio_pct,fiscal_plus_fire,long,2020,2018,10.0,11.80981665936639,103
operating_ratio_pct,fiscal_plus_fire,long,2020,2018,100.0,10.130393984255932,103
operating_ratio_pct,fiscal_plus_disaster,long,2020,2016,0.1,7.88501963175171,102
operating_ratio_pct,fiscal_plus_disaster,long,2020,2016,1.0,7.9063544262403065,102
operating_ratio_pct,fiscal_plus_disaster,long,2020,2016,10.0,8.101487618765796,102
operating_ratio_pct,fiscal_plus_disaster,long,2020,2016,100.0,9.100858992584376,102
operating_ratio_pct,fiscal_plus_disaster,long,2020,2017,0.1,6.654302516875126,102
operating_ratio_pct,fiscal_plus_disaster,long,2020,2017,1.0,6.6328904805503335,102
operating_ratio_pct,fiscal_plus_disaster,long,2020,2017,10.0,6.437321544405122,102
operating_ratio_pct,fiscal_plus_disaster,long,2020,2017,100.0,5.729571453352628,102
operating_ratio_pct,fiscal_plus_disaster,long,2020,2018,0.1,10.211703183053004,103
operating_ratio_pct,fiscal_plus_disaster,long,2020,2018,1.0,10.186121856877632,103
operating_ratio_pct,fiscal_plus_disaster,long,2020,2018,10.0,9.943752121512379,103
operating_ratio_pct,fiscal_plus_disaster,long,2020,2018,100.0,8.43480998780102,103
operating_ratio_pct,fiscal_only,long,2021,2016,0.1,8.591732035913383,102
operating_ratio_pct,fiscal_only,long,2021,2016,1.0,8.609315540851457,102
operating_ratio_pct,fiscal_only,long,2021,2016,10.0,8.766113940105695,102
operating_ratio_pct,fiscal_only,long,2021,2016,100.0,9.539165346305575,102
operating_ratio_pct,fiscal_only,long,2021,2017,0.1,6.930704145868258,102
operating_ratio_pct,fiscal_only,long,2021,2017,1.0,6.9038783336188985,102
operating_ratio_pct,fiscal_only,long,2021,2017,10.0,6.666126908436551,102
operating_ratio_pct,fiscal_only,long,2021,2017,100.0,5.840064485101082,102
operating_ratio_pct,fiscal_only,long,2021,2018,0.1,12.261756290828071,103
operating_ratio_pct,fiscal_only,long,2021,2018,1.0,12.234831258142814,103
operating_ratio_pct,fiscal_only,long,2021,2018,10.0,11.97803906241096,103
